buckfast 1.3.2                                                                                      ,

*HEADING,
Buckfast example - Pipeline A - Scenario 1                                                          ,

*SIMULATION,
number of simulations,              100000,

*WATER,
temperature of sea-water (°C),        4.0000000000,,
density of sea-water (kg.m-3),     1025.0000000000,,

*AXIALFRICTION,                   1,,
distribution,LOGNORMAL           ,,
mean,        0.5170000000,,
standard deviation,        0.1370000000,,

*SINGLE,                   1,,
diameter (mm),      273.1000000000,,
wall thickness (mm),       25.4000000000,,
density of steel (kg.m-3),     7850.0000000000,,
elastic modulus (N.mm-2),   207000.0000000000,,
Poisson's ratio,        0.3000000000,,
coefficient of thermal expansion (°C-1),        0.0000117000,,
thickness of coating (mm),      300.0000000000,                   1,
density of coating (kg.m-3),      990.5815642546,                   1,
density of contents during operation (kg.m-3),      799.9858676179,,
density of contents during installation (kg.m-3),        1.3136056940,,

length of pipeline (m),    20000.0000000000,,



number of simulations,              100000,
number of simulations with one or more buckles,              100000,
probability of one or more buckles,    0.1000000000E+01,
                    ,
                    ,mean,standard deviation,minimum,maximum,
number of buckles,    0.7195110000E+01,    0.1829781978E+01,                   2,                  19,

element,centroid of element,number of simulations with a buckle,probability of buckling,probability of not buckling,mean of the VAS,standard deviation of the VAS,minimum VAS,maximum VAS,
,(m),,,,(m),(m),(m),(m),
                   6,      450.0000000000,                  21,    0.2100000000E-03,    0.9997900000E+00,    0.1137648224E+04,    0.3682536580E+03,    0.6626356809E+03,    0.2305186532E+04,
                   7,      550.0000000000,                  43,    0.4300000000E-03,    0.9995700000E+00,    0.1076118899E+04,    0.3310121391E+03,    0.6163097775E+03,    0.1913760608E+04,
                   8,      650.0000000000,                 144,    0.1440000000E-02,    0.9985600000E+00,    0.1210022983E+04,    0.3735473349E+03,    0.6269110102E+03,    0.2740790000E+04,
                   9,      750.0000000000,                 286,    0.2860000000E-02,    0.9971400000E+00,    0.1272428939E+04,    0.3916894818E+03,    0.6219219013E+03,    0.2552634575E+04,
                  10,      850.0000000000,                 568,    0.5680000000E-02,    0.9943200000E+00,    0.1326541542E+04,    0.3726745579E+03,    0.6652824795E+03,    0.2743089444E+04,
                  11,      950.0000000000,                 859,    0.8590000000E-02,    0.9914100000E+00,    0.1428486039E+04,    0.3934501165E+03,    0.7239165229E+03,    0.2836202488E+04,
                  12,     1050.0000000000,                1228,    0.1228000000E-01,    0.9877200000E+00,    0.1508410008E+04,    0.4113329198E+03,    0.7698328372E+03,    0.3333897656E+04,
                  13,     1150.0000000000,                1700,    0.1700000000E-01,    0.9830000000E+00,    0.1571798001E+04,    0.4137720590E+03,    0.8214791342E+03,    0.3147332199E+04,
                  14,     1250.0000000000,                2115,    0.2115000000E-01,    0.9788500000E+00,    0.1630184506E+04,    0.4029310518E+03,    0.9081189915E+03,    0.3799616969E+04,
                  15,     1350.0000000000,                2601,    0.2601000000E-01,    0.9739900000E+00,    0.1722925368E+04,    0.4252860571E+03,    0.8500000000E+03,    0.3874218088E+04,
                  16,     1450.0000000000,                3022,    0.3022000000E-01,    0.9697800000E+00,    0.1777157689E+04,    0.4244462570E+03,    0.8000000000E+03,    0.3760472665E+04,
                  17,     1550.0000000000,                3303,    0.3303000000E-01,    0.9669700000E+00,    0.1849218925E+04,    0.4376350371E+03,    0.9000000000E+03,    0.3878885857E+04,
                  18,     1650.0000000000,                3797,    0.3797000000E-01,    0.9620300000E+00,    0.1917120830E+04,    0.4447140645E+03,    0.9000000000E+03,    0.4078621157E+04,
                  19,     1750.0000000000,                3874,    0.3874000000E-01,    0.9612600000E+00,    0.1969855324E+04,    0.4536014888E+03,    0.7000000000E+03,    0.4608744888E+04,
                  20,     1850.0000000000,                4057,    0.4057000000E-01,    0.9594300000E+00,    0.2032182099E+04,    0.4467512294E+03,    0.7000000000E+03,    0.3985380421E+04,
                  21,     1950.0000000000,                4129,    0.4129000000E-01,    0.9587100000E+00,    0.2083385533E+04,    0.4591959183E+03,    0.8500000000E+03,    0.4220095015E+04,
                  22,     2050.0000000000,                4215,    0.4215000000E-01,    0.9578500000E+00,    0.2136117417E+04,    0.4685864719E+03,    0.8500000000E+03,    0.4347955920E+04,
                  23,     2150.0000000000,                4487,    0.4487000000E-01,    0.9551300000E+00,    0.2185258485E+04,    0.4910587219E+03,    0.8000000000E+03,    0.4367657825E+04,
                  24,     2250.0000000000,                4196,    0.4196000000E-01,    0.9580400000E+00,    0.2220006990E+04,    0.4893836343E+03,    0.8000000000E+03,    0.4600749635E+04,
                  25,     2350.0000000000,                4345,    0.4345000000E-01,    0.9565500000E+00,    0.2273242468E+04,    0.5068916511E+03,    0.7000000000E+03,    0.4701988055E+04,
                  26,     2450.0000000000,                4366,    0.4366000000E-01,    0.9563400000E+00,    0.2321793361E+04,    0.5184679864E+03,    0.8500000000E+03,    0.4417225009E+04,
                  27,     2550.0000000000,                4317,    0.4317000000E-01,    0.9568300000E+00,    0.2352331186E+04,    0.5393360160E+03,    0.7000000000E+03,    0.5291241982E+04,
                  28,     2650.0000000000,                4211,    0.4211000000E-01,    0.9578900000E+00,    0.2379480542E+04,    0.5614544213E+03,    0.8000000000E+03,    0.4926628283E+04,
                  29,     2750.0000000000,                4144,    0.4144000000E-01,    0.9585600000E+00,    0.2398099364E+04,    0.5761021015E+03,    0.8000000000E+03,    0.4782218310E+04,
                  30,     2850.0000000000,                4244,    0.4244000000E-01,    0.9575600000E+00,    0.2422905552E+04,    0.5945422847E+03,    0.6500000000E+03,    0.5088835905E+04,
                  31,     2950.0000000000,                4158,    0.4158000000E-01,    0.9584200000E+00,    0.2461685287E+04,    0.6102238100E+03,    0.8500000000E+03,    0.5062496659E+04,
                  32,     3050.0000000000,                4245,    0.4245000000E-01,    0.9575500000E+00,    0.2460993302E+04,    0.6343560337E+03,    0.7500000000E+03,    0.5692071859E+04,
                  33,     3150.0000000000,                4090,    0.4090000000E-01,    0.9591000000E+00,    0.2455784574E+04,    0.6477022116E+03,    0.7000000000E+03,    0.5039906746E+04,
